PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
-5180.096928046217,-3019.671886936574,688.5299692984108,57.974392825629906,349.83089440798636,-40.97674757751916,41.55507846921221,253.4290832916858,508.1098229877769,599.2296630972676,33.004982386640926,548.3924214371955,-38.25303315053297,-233.73617541206812,-330.11858929429343,15.379794074933251,39.36805619476333,443.7257510576425,116.555736226679,529.6323515048106,-391.02195734175274,-357.5315725672504,-89.97719775133865,-80.1769881944628,-85.2674155357251,142.29258044799232,248.84504947528487,178.34548966277532,139.86271781991366,-25.750172676163135,181.51213207870356,14.200578546421562,-24.10076878928897,-11.994727235620347,27.593987272860453,-29.288950987588454,78.15400121413894,9.287537337664608,8.987735927987837,60.60747691657162,101.49082072646367,69.38710638401098,6.68981398376097,-47.220979556012416,1.827988459118008,0.4775919750592384,-42.39978640479164,76.16133918348237,36.762695680264166,-8.636379907938924
-1863.128652598045,-4019.3444086700647,-1505.439772800486,199.25347741357234,-639.8563851949901,-45.603323604872585,-17.513801462590944,-450.6337758626371,206.82078765618746,769.322037666299,-94.03054574012144,700.843494015688,-285.03605060925105,-516.8538381290319,-133.13323568911264,-58.312841631256774,-211.97254683889213,115.60054067635468,-227.61384161621837,-273.2292167055848,394.8394424927192,91.9785743709971,-421.4453753864413,70.6484957666823,-353.4567884222727,266.9895868411883,-51.52972191407816,35.81784865704462,-57.54454228296502,-50.30674979264321,126.94757199038966,-2.5517598567082276,-37.72944350126732,0.7326112539184293,117.29646748176187,41.94506449537473,-10.808375037562083,-50.2825176169704,-6.763065397267069,71.35445366154086,75.55935730360216,-70.00069328104667,-41.68120932427903,53.94668802019511,119.4988976052141,5.754247200624721,-33.2751978402417,42.34731780592104,106.02240835731962,-32.3047646330532
-3150.978385545092,-3459.5713513508254,-1855.4775247899338,-153.45345249633948,-138.84478794747477,-29.580637193258433,-74.68754424306834,129.74142620079368,354.8230196802955,-367.46577858577405,96.12144967205516,-90.6788730445249,416.0047048001292,-138.81002170669103,-363.5292417529342,-263.34538106523746,108.59057099106393,48.65192500749543,-405.7858826665096,417.6351363697927,-241.0037121115005,-145.09699483229625,-161.81917734792177,-52.79315438566878,162.46179201550143,95.13751879572624,-212.00047186080883,-106.4590020309563,-74.23362156675036,-36.639819306514404,5.6039350002663735,-11.703730383382243,-38.47012267059686,-14.827910648498007,-0.6750453713004473,-19.561512338310223,89.73019103099699,-8.771701242251,-13.146354400711285,-34.15244411383622,13.232730373434418,102.13202983315598,-6.573132905676677,-117.69109172217995,4.151757041908234,10.325969787195323,4.173113745351128,28.076181582856982,42.054860220239746,-3.2462000560192275
-1979.1181538968347,-595.9974401981334,-1509.116659808509,-572.2415223553928,286.5634147286194,-67.95644285394101,26.000617451985207,-92.26192302285023,-186.5350028043409,90.89259780639627,-534.6247580480718,-186.79947725087555,-732.5669677074408,-208.52682159289094,101.37491676079908,58.88807962628297,560.9274290943424,-87.65466104141976,49.00946474922796,-72.60489713001789,-243.27158373701414,-60.803328863918125,-346.0622793500465,-121.88977755862497,212.5586119580377,-122.57145248182198,71.22911348429292,-6.74534192602562,-38.28292785900756,-97.97169695770252,28.14422456778828,8.198363959568672,-14.39876236231331,-13.954493175286117,-4.097575422058515,-17.11970794966073,6.715708517943493,-32.41960517521205,0.7733798980833544,-20.572715793202605,60.31628988874435,29.327215036912733,23.02130698189017,-48.542876765250504,66.31065816185621,0.8065729013951404,-1.5705639991301144,36.76144754570324,60.403407983237706,-14.344534065073452
-3922.13512428656,-2341.184977889665,134.70859349461392,-188.0226756934734,-133.7601519314841,-54.40386858142352,-37.764518870503004,-290.86005312652105,180.84159551635548,298.00664082431405,-110.00323665082344,127.05351054300021,258.6560394171073,-480.5679641167247,150.9542568333595,109.22105429264896,-481.89611455192613,-308.4742878907483,-139.0750335645661,-156.11421222930974,298.8312051295306,450.6515061480116,32.43405820524803,-337.9809077649821,-249.1554587417002,99.03772078117143,265.17906187863315,39.050646274355906,33.26764509447877,-16.834550464535194,6.217276488027175,27.319064625840923,-16.61794973662779,-15.628492634647941,36.22222898897606,-44.226497989010156,28.635504127161997,20.629239447110958,-11.207077813988459,-19.283458772416957,91.85923516072798,-90.66600383203928,4.417207593495203,-28.645638653636006,47.52875218528782,23.923199380171518,-23.157274327723567,43.80578180288158,49.49646590398598,-9.014777118343606
-4362.208149475726,-3852.073183052405,180.2878639752844,624.1500139624666,963.7090091647012,-5.581111565227204,17.93818086834854,528.1445512159538,-647.3213156335082,133.74357727878464,66.61555291789911,377.8950886850627,-809.9178035738397,-78.76012075234485,321.82406125121526,-518.3090331006357,-588.9437895384964,-177.7384193749598,341.8271511201964,-226.1927793383797,200.46769499198143,308.69548006251017,323.8411558732842,49.87940342473963,197.06734669463603,302.1297982425326,-515.491470314433,437.6865296222704,-125.11653557812008,102.71451315967006,105.08346701883065,24.498110200640138,-11.763671066017084,6.444481031528561,-31.27697107263248,-72.39231516855394,16.886165897413434,-69.08790247669964,-41.13615157169732,-51.00272238585347,-26.378919883533317,-21.432250807632453,28.70910298682885,31.037009762841123,30.495087048265262,144.73398444803485,71.37730633057384,41.53993318649276,-41.677112627025735,-16.374528472549155
-5006.525455000264,-3705.4218918401393,534.4635224774955,563.851895690553,888.0064583644973,-24.93722454976894,-66.1802606622257,288.60378930496324,-911.6315455140705,125.0513549964076,244.46757281974166,136.76039131146422,453.8561491482931,209.69312282045058,557.7205624880716,-414.4260796108978,163.1622124835054,44.315845735872784,-138.57318389842953,183.3056289092476,-212.97373737694375,74.58575676192078,-97.44780307517647,110.76210937604984,-1.216043916714231,44.08555749244392,-189.42636119927138,-106.35182104217006,303.12870244471435,64.39937080445311,-48.88470500560021,16.371768099331504,-38.42070996762049,-19.91764835347196,-56.02760198293462,-93.74880211034171,-54.41581205638571,-11.436847340258618,7.928823876339459,-18.97846186084784,55.8670387622189,-52.55953245832562,4.279295431969395,-106.17044167309406,31.814062272738166,-3.844310843909163,5.044399056274335,22.991352823608523,40.969947437769925,-3.8789721744619685
-4570.437174957829,-2640.342526071237,-750.8471292152075,-215.86098868268235,-583.2872456471315,-49.754901004828845,6.132910055475641,-201.13664234998407,361.0011185946374,319.0446378004204,-433.5464252193207,-232.21112708586,215.21737921923562,-320.63794793075067,-446.6193054024129,-62.24212450521433,223.57037392705197,-130.782308780469,224.1970945107214,-33.93096894187124,-150.96084924735652,-93.02584991624856,-287.4091877808671,-130.14674147184326,243.46519950457085,-239.31724005874034,244.30269716829386,-23.904499263253634,-2.6315889086633657,-70.08334522994296,-91.09547355818604,-4.744844115585571,-44.388601856541534,-32.280529237786276,-164.9788916038769,208.7280688715316,31.379212066174787,202.47091162047272,34.16653141685306,-2.2378990653763786,-45.75222943449704,-6.249314785043776,4.207480888034229,7.152305065127534,49.95021316647915,112.23259147347686,-19.209157569182448,1.530552444488535,-5.317110275620875,-15.261385175034297
-4364.149976064806,267.5840110460916,560.0567605239526,3945.5470740462406,4871.379355062134,23.25388162749601,54.81167942996554,718.0823420411007,-328.62314485258025,-178.4479611625216,-49.28564300697946,-185.15783516588127,-135.07064955654445,-8.292057488052775,632.4393033195742,-150.21090782090508,104.73104018829672,176.02111017780092,156.05202498351383,192.37327778973366,-12.355247257143933,-22.599593794776467,-45.794747130561106,-59.54882834855403,260.4562359461939,627.4569361231071,-277.8244521604521,153.50811800770924,-87.75831718874058,52.29419932903466,-150.33786954115826,21.83876585070218,-34.770426260659505,7.308404178755849,7.055664763393245,-19.185794164483895,94.01930455278936,21.61385546713441,-1.4645012503251498,20.187976708184355,18.083978373557777,-8.955051003644693,1.705485428992184,-29.121186129958673,6.176751174959169,88.64671400139915,-28.54728322602868,-4.161386572474692,-12.540295231300606,-0.12870840613898316
-5430.690039946431,-3717.4245994797116,798.6121193625587,128.29728614532155,146.2824892716895,-24.139358174417698,41.43209624695391,259.06530010514246,429.11519246092166,233.0082572651257,-239.74188180354295,-231.15814273142715,358.4429398544764,-511.7107534609271,302.5454047515633,-11.263757673678496,-490.3210120253071,-22.933704299329438,317.12860294860263,370.0926753761145,-82.20132776999365,-218.43899658484727,-110.18628595804934,-405.12320715515517,304.0605918504086,449.0314639931423,494.4594253796814,661.1128895217619,46.92111437396522,-13.323935520031583,67.71544760960954,46.24446020607977,-25.16884664864092,1.1431739863638632,71.59815556762256,-48.101107447101626,-64.69692720466672,3.6179858730569907,-4.881066425077695,-51.08811272365654,68.55083005493478,35.967313999299286,61.86528036151701,-74.59190746908152,-3.5855042083818245,28.39412442130119,-31.425471136326347,42.30224005379565,84.50194550421266,-5.945239224364237
